</s>
是_v	并非_v
巉行_v	颔行_v
见状_v	上前_v 呼救_v 拦住_v 逃走_v 阻拦_v 呼喊_v
挤压_v	收缩_v 增大_v 导致_v 萎缩_v 传导_v 膨胀_v 扩张_v
郭德纲_np	何炅_np 乐嘉_np 曹可凡_np 汪涵_np 朱丹_np 周立波_np 高晓松_np
护照_n	签证_n 登机牌_n 户口本_n 证件_n 身份证_n 学生证_n 工作证_n 原件_n 户口簿_n 通行证_n 军官证_n 复印件_n 指纹_n
烂_a
全天_n	尾盘_n 全日_n 交易日_n 午盘_n
泪_n	泪水_n 泪花_n 眼泪_n
外事_n	国管局_n 经委_n 办公室_n 办公厅_n 侨务_n 保密局_n
最大化_v	兼顾_v 讲求_v 平衡_v
会议室_n	分会场_n 会场_n 宴会厅_n 大楼_n 大厅_n 报告厅_n 宾馆_n 办公会_n 大礼堂_n 会议厅_n 分团_n 礼堂_n
扫描_v	刻录_v 读取_v 打印_v 识别_v
汇款_n	存折_n 持卡人_n 电汇_n 银行卡_n 收款人_n 信用卡_n 网银_n
市场价_n	成本价_n 售价_n 销售价_n 指导价_n
纯粹_a	单纯_a 超现实_a
并举_v	狠抓_v 着力_v 下工夫_v 挖潜_v 下功夫_v
病床_n	主治医生_n 病房_n 急诊室_n 手术室_n 老人_n 手术台_n
报社_n	社长_n 杂志社_n 编辑部_n
国泰君安_nz	中信_nz 国海_nz 安信_nz 国元_nz 日信_nz 湘财_nz 财通_nz 建投_nz 国都_nz 宏源_nz
一对一_id	手把手_id
凉爽_a	闷热_a 清凉_a 凉快_a 酷热_a 寒冷_a 炎热_a 晴朗_a
错_n	白痴_n 错误_n 笑话_n 罪过_n
邮票_n	邮品_n 银币_n 珍品_n 纪念币_n 邮资_n
感悟_v	体会_v 抒发_v 抒写_v 体悟_v 升华_v
自治_v	议事_v
火力_n	火力点_n 侧翼_n 红方_n 敌军_n 制空权_n 敌方_n
监察局_n	工商局_n 信访局_n 安监局_n 环保局_n 人社局_n 教育局_n 审计局_n 财政局_n 经信局_n 商务局_n 卫生局_n
红毯_n	戛纳_n Ｔ台_n 红裙_n
石原慎太郎_np	石原_np
贵族_n	宫廷_n 皇室_n
苏区_n	长征_n 游击战争_n 根据地_n 红军_n 老区_n 红四军_n
求救_v	呼救_v 求助_v 赶到_v 呼喊_v 见状_v 接到_v 闻讯_v 报警_v
页面_n	客户端_n 主界面_n 主页_n 图标_n 激活码_n
花样_n	玩意儿_n 花式_n 口味_n
产出_v
善款_n	爱心款_n 捐款_n 爱心_n
不菲_a	便宜_a 贵_a 低廉_a 最贵_a 昂贵_a
班级_n	毕业班_n 年级_n 辅导班_n 班_n 学生_n 低年级_n 全校_n 学校_n 初中_n 班主任_n 高三_n
尾声_n	最高潮_n
踪影_n	人影_n 踪迹_n 动静_n
促进会_n	理事长_n 协会_n 总商会_n 联谊会_n 研究会_n 基金会_n 侨商会_n 华商会_n 分会_n 商会_n
丧生_v	枪击_v 爆炸_v 遇难_v 致死_v 遭袭_v 死伤_v 袭击_v 遇袭_v 死亡_v
不可思议_id	是的_id 难以置信_id
厦门市_ns	上海市_ns 泉州市_ns 成都市_ns 大连市_ns 南昌市_ns 漳州市_ns 苏州市_ns 福州市_ns 青岛市_ns
认罪_v	指控_v 轻判_v 检方_v 无罪_v
针_n	手背_n 额头_n 手掌_n 手指_n 手臂_n 针头_n
猛_a	凶猛_a
腿部_n	头部_n 颈部_n 手臂_n 大腿_n 脚部_n 右腿_n 腰部_n 锁骨_n 小腿_n 手肘_n 脸部_n 肩部_n 背部_n 腹部_n 臀部_n
月经_n	月经期_n 经期_n 盆腔炎_n 生理性_n 痛经_n
供认不讳_id
光线_n	亮度_n 灯光_n 强光_n 气孔_n
近视_a
警报_n	风暴潮_n 信号_n 台风_n 雷电_n 强风_n 大雾_n 暴风_n 雷电黄色_n 霾黄色_n
中银_nz	信诚_nz 广发_nz 瑞信_nz 信达_nz
关税_n	税率_n 消费税_n 增值税_n 进口商品_n 营业税_n 进口国_n
理事_n	理事长_n 辞书_n 协会_n 分会_n 电影家_n 秘书长_n 会长_n 法学会_n 曲艺家_n 研究会_n 美术家_n 主任委员_n 学会_n
分散_a	零星_a
组织者_n	主办方_n 新闻界_n 组织方_n
船队_n	补给船_n 船长_n 指挥船_n 永暑礁_n 美济礁_n 渚碧礁_n 渔船_n
银华_nz	申万菱信_nz 嘉实_nz 诺德_nz 诺安_nz 海富通_nz 鹏华_nz
开封_ns	安阳_ns 驻马店_ns 汝州_ns 商丘_ns 许昌_ns 三门峡_ns 漯河_ns 新郑_ns 洛阳_ns 荥阳_ns 信阳_ns
师资_n	学分制_n 教学_n 实验班_n 课程_n
开奖_v	摇奖_v 投注_v 中奖_v
保险费_n	养老保险金_n 保险_n 保障金_n 投保人_n 工伤_n 保险金_n 保费_n 奖励费_n 保险费用_n
美妙_a	浪漫_a
财政厅_n	公安厅_n 人社厅_n 信委_n 农业厅_n 审计厅_n 科技厅_n 环保厅_n 卫生厅_n 农牧厅_n 工信厅_n 司法厅_n 林业厅_n 交通厅_n 水利厅_n 省_n 监察厅_n 商务厅_n 民政厅_n
肯定_a
卷_v	滑_v 冲_v 蹚_v
缓刑_v	判刑_v 获刑_v 判_v 拘役_v 判处_v
拐_v	疾驰_v 拦住_v 拐弯_v 横穿_v
陆地_n	礁盘_n 驳船_n 赤道_n 海面_n 海域_n 海沟_n 海岸线_n
房租_n	水电费_n 物管费_n 房款_n 租户_n 月租金_n 中介费_n 月租_n 物业费_n 租金_n 房东_n
浇_v	泡_v 浸泡_v
开枪_v	扫射_v 射杀_v 击毙_v 行凶_v 击伤_v 持枪_v
能效_n
水务_n	电业_n 航务_n 工程处_n 园林局_n
吊销_v	暂扣_v 审验_v 处罚_v 责令_v 罚款_v 处以_v 记分_v
交叉口_n	交会处_n 路口_n
威廉姆斯_np	布莱恩特_np 布拉德利_np 戴维斯_np 诺维茨基_np 马克－_np
筹建_v	成立_v 投建_v 兴建_v 设立_v 落户_v
繁荣_v	跨越_v 共谋_v 发展_v 推动_v
落入_v	逃离_v 击伤_v 潜入_v 逃脱_v
准时_a
调查组_n	处置组_n 派员_n 专班_n 督察组_n 通报_n 工作组_n 巡查组_n
家用_a
林俊_np	马尼奥塔_np
负担_v	缴纳_v
暴跌_v	收高_v 重挫_v 跌_v 收跌_v 大跌_v 急跌_v 下挫_v 微涨_v 下跌_v
判刑_v	定谳_v 获刑_v 入狱_v 判处_v
闭幕式_n	组委会_n 庆典_n 仪式_n 开幕式_n
闻讯_v	呼救_v 赶到_v 赶来_v 呼喊_v 劝说_v 见状_v 求救_v 阻拦_v
合唱_v	伴奏_v 演奏_v 独奏_v 歌唱_v 领唱_v 独唱_v 演唱_v 同台_v 合奏_v 联唱_v
潘基文_np	李保东_np 潘金_np 阿拉比_np 纳赛尔_np 拉德苏_np 丘尔金_np 拉斯穆森_np 沙祖康_np 科菲_np
群岛_n	领土_n 岛屿_n 国后岛_n 岛_n
威力_n	防御力_n 敌人_n 法术_n 近战_n 火力_n 肉盾_n 攻击力_n 杀伤力_n
地毯_n	金色_n
班长_n	中队长_n 排长_n 营长_n 下士_n 炊事班_n 集团军_n 教导员_n 指导员_n 教员_n 连长_n 连队_n
关门_v	打烊_v 开张_v 歇业_v 收摊_v 开门_v
值_n	平均值_n 数值_n 比_n 比值_n
港币_n	美金_n 澳门元_n 人民币_n 港元_n 新币_n 台币_n 卢布_n 日元_n 现钞_n
平潭_ns	海西_ns 泉州_ns 前海_ns
内分泌_n	胰腺_n 垂体_n 代谢性_n 甲状腺_n 小儿_n 骨质疏松症_n 消化道_n 心血管_n 妇科炎症_n
下同_v	合_v 折合_v
装备_v	列装_v
信仰_n	情怀_n 家国_n 幸福观_n 共产党人_n
疑难_n	妇科_n 常见病_n 内科_n 肛肠_n 急症_n
默克尔_np	安格拉_np 拉霍伊_np 蒙蒂_np 奥朗德_np 艾罗_np
必备_v	选用_v 配搭_v 适合_v
跳舞_v	哼_v 哼唱_v 弹奏_v 唱歌_v
腰部_n	头部_n 颈部_n 手臂_n 大腿_n 腿部_n 胳膊_n 锁骨_n 小腿_n 手肘_n 肩部_n 腹部_n 膝盖_n 臀部_n
突尼斯_ns	巴基斯坦_ns 以色列_ns 利比亚_ns
合格率_n	不合格率_n 塑化剂_n 游离性_n 生鲜乳_n 超标率_n 香兰素_n 大肠菌_n 灰分_n
搜_v	起获_v 盗走_v
巴塞罗那_ns	那不勒斯_ns 西甲_ns 马拉加_ns
小小_a	顽皮_a
敬老院_n	孤老_n 卫生站_n 特困户_n 养老院_n 卫生所_n 困难户_n 孤残_n 老人_n 社区_n 孤儿_n 福利院_n
复旦_nz
放过_v	到底_v 接招_v 奉劝_v
真皮_n	内饰_n 饰条_n 材质_n 仪表台_n 仪表板_n 木纹_n 仪表盘_n 桃木_n
守候_v	赶到_v 蹲守_v 赶来_v 布控_v 带往_v
附加值_n	集中度_n 产品_n 高效益_n 价值链_n 转化率_n 效益_n 关联度_n
退休金_n	工龄_n 养老保险金_n 救济金_n 双轨制_n 替代率_n 工资_n 养老保险_n 月数_n 退休者_n 养老金_n
冯建梅_np	邓吉元_np
接警_v	接报_v 赶到_v 出警_v 报案_v 处警_v 赶往_v 报警_v
剧照_n	主演_n 预告片_n 新片_n 片花_n
媒介_n	社交_n 新媒体_n 类网站_n 纸媒_n 网络_n 互联网_n
编写_v	编印_v 编纂_v 编著_v 编撰_v 写作_v 撰写_v
文本_n	格式_n 书稿_n 内容_n 正文_n 简体_n 电子版_n 文档_n
助阵_v	献唱_v 同台_v 力邀_v 登台_v
崩溃_v	陷于_v 自拔_v 深陷_v 陷入_v
居高不下_id
什麽_n	道理_n 麽样_n
没事_v	心想_v 念叨_v 晓得_v
充裕_a	宽裕_a
疲惫_a	疲倦_a 疲乏_a 亢奋_a 烦闷_a
勉强_a	舒舒服服_a
降准_v	预期_v 减息_v 逆回_v 加息_v 降息_v
俗称_v
声央_n	晚高峰_n 纵横_n
致歉_v	怒斥_v 歉意_v 登报_v 回应_v 道歉_v
商用_a
饿_v	充饥_v 喂_v 睡_v
高地_n	强区_n 制高点_n 商贸业_n 增长极_n 排头兵_n 强市_n 潮头_n
展品_n	特展_n 参观者_n 奇石_n 唐卡_n 复制品_n 展馆_n 藏品_n
消防员_n	火场_n 绳索_n 火势_n 云梯_n 消防车_n 云梯车_n 起火点_n 被困者_n
参议院_n	民主党_n 国会_n 法案_n 反对党_n 众议院_n 议长_n 道歉案_n 下议院_n 议员_n 内阁_n 参议员_n 众议员_n 众议长_n 弹劾_n
确诊_v	诊断_v 治疗_v
责成_v	分管_v 责令_v
迈进_v	跨越_v 腾飞_v 发展_v 开创_v 迈出_v 迈向_v
贵阳市_ns	济宁市_ns 乌鲁木齐市_ns 沧州市_ns 西安市_ns 合肥市_ns 济南市_ns
话费_n	会员卡_n 充值卡_n 汇款_n 银行卡_n 账单_n 卡_n 账号_n 网银_n
水流_n	河面_n 河水_n 江水_n 江面_n 水坑_n 湖水_n 漂浮物_n 急流_n 泥沙_n
廉价_a	便宜_a 低廉_a 昂贵_a
救护_v	搜救_v 救援_v 营救_v 医护_v 施救_v 急救_v
信仰_v
进食_v	摄取_v 空腹_v 摄入_v
蒜_n	空心菜_n 菜心_n 大蒜_n 油麦菜_n 青菜_n 小葱_n 冬瓜_n 白菜_n 大白菜_n 鸡蛋_n
永兴岛_ns	南沙群岛_ns 三沙市_ns 西沙_ns 中沙_ns 三沙_ns 中沙群岛_ns 南沙_ns
收拾_v	进屋_v 打扫_v 做饭_v 忙_v 来得及_v 洗漱_v 忙活_v
解放思想_id	真抓实干_id 以人为本_id 与时俱进_id 时不我待_id 凝心聚力_id 开拓进取_id 思想解放_id 锐意进取_id 坚持不懈_id 鼓足干劲_id 求真务实_id
陈水扁_np	李登辉_np 吴敦义_np 陈致中_np 吴淑珍_np 阿扁_np 马英九_np 林益世_np 许添财_np 吕秀莲_np
重中之重_id	落到实处_id 常抓不懈_id
再说_v	要是_v 觉得_v 晓得_v 想_v
简历_n	履历_n
摊贩_n	商贩_n 餐饮店_n 作坊_n 摊档_n 小贩_n 小摊_n 小吃摊_n 摊位_n 摊点_n 摊主_n 经营户_n 小商贩_n
侮辱_v	诬陷_v 诽谤_v 丑化_v 斥责_v 嘲讽_v 嘲弄_v 虐待_v 控诉_v
趴_v	惨叫_v 蜷缩_v 使劲_v 躺_v 蹲_v 只见_v
巴洛特利_ns
士气_n	斗志_n 全队_n 拼劲_n 军心_n
铝_n	磷酸_n 氟_n 锌_n 铅_n 甲醇_n
入库_v	下泄_v 拦蓄_v 拦洪_v
著称_v	见长_v
根源_n	根本_n 症结_n 现象_n
千方百计_id	民计民生_id 想方设法_id
佳绩_n	冠军_n 桂冠_n
打架_v	争执_v 争吵_v 斗殴_v
法师_n	师父_n
女方_n	夫妻_n 前妻_n 老公_n 男友_n 男方_n
音_n	声_n 曲_n
武力_n	武器_n 现政权_n 势力_n
镀_v	镀铬_v
锌_n	矿物质_n 维生素Ｂ１２_n 胆碱_n 蛋白质_n 钾_n 钙_n 硒_n 卵磷脂_n 镁_n 维生素Ａ_n
硬盘_n	显卡_n 内存_n 光驱_n 插槽_n ＳＤ卡_n 内置_n
旅程_n	旅途_n 时光_n 征途_n 游历_n 梦想_n
保险业_n	资管_n 寿险_n 金融_n 银行业_n 险资_n 信托业_n 基金业_n 金融业_n 券商_n
护送_v	开道_v 前往_v 赶来_v 到达_v 搭乘_v 赶往_v 登车_v 营救_v 值勤_v
拨通_v	求助_v 拨打_v 关机_v 挂断_v 接通_v 接到_v
好吃_a	美味_a 可口_a 甜_a
饱和_v	蓄积_v
意味_n	贬义_n 深意_n
烟台市_ns	德州市_ns 南昌市_ns 菏泽市_ns 东营市_ns 淄博市_ns 潍坊市_ns 济宁市_ns 威海市_ns 聊城市_ns 济南市_ns
辗转_v	找到_v 远在_v
言语_n	语气_n 口吻_n 表情_n
播种_v	免耕_v 整地_v 春播_v 种植_v
江宁_ns	嘉定_ns 新都_ns 浦口_ns 鼓楼_ns 湖滨_ns 城北_ns 雨花台区_ns 城东_ns 新街口_ns 上城_ns
游人_n	瀑布_n 景色_n 观景台_n 荷塘_n 景致_n 美景_n
年会_n	协会_n 联合会_n 研讨会_n 理事会_n 国际_n 理事_n 促进会_n 大会_n 博览会_n 分会_n
差异化_v	市场化_v 个性化_v 定制化_v 精品化_v 多元化_v
划算_a	便宜_a 合算_a
受审_v	审理_v 指控_v 判刑_v 检方_v 无罪_v 开庭_v 获刑_v 宣判_v
常见病_n	内镜_n 危重症_n 内科_n 急症_n
陌生人_n	哥们_n 朋友_n 小孩子_n 外人_n
受阻_v	分流_v 改道_v 滞留_v 中断_v 抢通_v 停驶_v 通行_v
化石_n	化石群_n 古生物_n 遗迹_n 寒武纪_n 遗骸_n 标本_n 古人类_n 猛犸象_n 恐龙_n
临沂_ns	泰安_ns 东营_ns 济宁_ns 滨州_ns 德州_ns 菏泽_ns 淄博_ns 莱芜_ns 聊城_ns
光_a	精光_a
奶牛_n	饲草_n 家禽_n 肉羊_n 食用菌_n 肉牛_n 马铃薯_n 肉鸡_n 饲料_n
假币_n	假钞_n 涉案物品_n 案值_n 赃款_n 赃物_n
雨天_n	下雨天_n 路面_n 行人_n 泥泞_n
征税_v	征点_v 抵扣_v 缴税_v
安抚_v	劝说_v 援救_v 开导_v 劝慰_v 劝解_v
日军_n	八国联军_n 清军_n 罪证_n 八路军_n 伪军_n 国军_n 日寇_n
下台_v	交权_v 掌权_v 倒台_v 当政_v
可行性_n	课题_n 论证会_n 方案_n 对策_n 评审会_n 前瞻性_n
开具_v	交款_v 办理_v 注销_v
旧金山_ns	德克萨斯州_ns 布里斯班_ns 华盛顿_ns 曼哈顿_ns 纽约_ns 加利福尼亚州_ns 加州_ns 洛杉矶_ns 多伦多_ns 圣地亚哥_ns
预料_v	意料_v 预想_v
交易会_n	藏毯_n 展示会_n 推介会_n 接会_n 展销周_n 展览会_n 茶博会_n 网货_n 展销会_n 商品展_n 展会_n 博览会_n
本色_n	风范_n
民调_n	支持率_n 西语裔_n 奥巴马_n
制毒_v	走私_v
账单_n	卡_n 持卡人_n 明细_n 收款人_n 话费_n
膳食_n	有机酸_n 矿物质_n 食物_n 氨基酸_n 营养素_n 营养_n 低热量_n
事态_n	局势_n
生命力_n	活力_n 创造力_n 源泉_n 感召力_n 感染力_n
无论如何_id	更何况_id 不管怎样_id 是的_id
悬崖_n	山崖_n 钢索_n
戒指_n	项链_n 婚戒_n 手链_n 手镯_n
捕鱼_v	打鱼_v 出海_v 打渔_v 捕捞_v
崔永元_np	徐睿_np 刘春_np
四季_n	花香_n 荷香_n 花果_n 怡人_n 百合_n
潜逃_v	审讯_v 逃匿_v 供述_v 刑拘_v 抓获_v 供认_v 落网_v 在逃_v 突审_v 归案_v
兰州市_ns	济南市_ns 青岛市_ns 贵阳市_ns 成都市_ns
停运_v	晚点_v 公交化_v 动车_v
增长点_n	推动力_n 路子_n 流业_n 变局_n
确切_a	清楚_a
幕_n	看点_n 战幕_n 序幕_n 重头戏_n 帷幕_n
建房_v	拆迁_v 腾退_v 翻建_v 动迁_v 空置_v 征用_v 违建_v 棚改_v 确权_v
查实_v	查处_v 查证_v 查清_v 姑息_v 立案_v 涉事_v
亮丽_a	淡雅_a 清新_a 雅致_a 迷人_a 柔美_a 靓丽_a 清丽_a 素雅_a
驱车_v	途经_v 赶到_v 前往_v 到达_v 驶进_v 赶往_v 冒雨_v
病变_v
电机_n	复合材料_n 器件_n 风机_n
三年期_a	两年期_a 五年期_a
伤情_n	伤者_n 队医_n 右腿_n 右膝_n 伤_n 伤势_n 左膝_n
抽奖_v	竞猜_v 赢取_v
阿基诺_np	奥巴马_np 克林顿_np 普京_np
危及_v	破坏_v 损害_v 导致_v 消除_v 伤害_v 威胁_v 防止_v 危害_v 避免_v
蒋_np	吴_np 孙_np 阎_np 朱_np 秦_np 许_np 苏_np
提炼_v	萃取_v 炼制_v 制取_v 提纯_v 合成_v
营业税_n	个人所得税_n 增值税_n 税收_n 所得税_n 契税_n 税种_n 房产税_n 税费_n
顾_v	伺候_v
老干部_n	干部_n 宣讲员_n 机关干部_n 党组织_n 联系点_n 党员_n 团组织_n
江河_n	支流_n 干支流_n 洞庭湖区_n 流域_n 河流_n 洞庭湖_n 河段_n 水库_n 河网_n
拉莫斯_np	阿贝罗阿_np 伊涅斯塔_np 哈维_np 卡西利亚斯_np 法布雷加斯_np 布冯_np 诺伊尔_np 卡萨诺_np 阿尔巴_np
延展_v	摄图_v 阅读_v 注明_v
胆固醇_n	血脂_n 钙质_n 葡萄糖_n 蛋白质_n 甘油_n 血糖_n 番茄红素_n 吸收率_n 维生素Ｄ_n 尿酸_n 脂肪_n 脂肪酸_n 糖分_n
多余_a
非常_a
烤_v	出锅_v 蒸_v 炖_v 焖_v 煮_v
娘_n	后妈_n 婆婆_n 爹_n 大哥_n 大老爷_n 老婆_n 妹_n
建交_v
不法_a	黑心_a 非法_a
交接_v	盖章_v 签字_v 签定_v
湖泊_n	湿地_n 植被_n 保护区_n 流域_n 溪流_n 湖区_n 水系_n 江河_n 河道_n 河流_n 胡杨林_n
生产能力_id	技术装备_id
能见度_n	湿度_n 气温_n 大雾_n 温度_n 雾霾_n 浓雾_n 东北风_n 闷热感_n 轻雾_n 灰霾_n
社长_n	理事长_n 总编_n 总编辑_n 党委书记_n
开水_n	泡_n 汤汁_n 沸水_n 文火_n 凉开水_n
与众不同_id
舒适性_n	驾乘者_n 通过性_n 运动性_n 动力性_n 操控性_n 舒适感_n 同级车_n 档次感_n
现货_n	价差_n 棕榈油_n 豆油_n 豆粕_n 铁矿石_n 外盘_n 期货_n 行情_n 螺纹钢_n
接待费_n	预算_n 购置费_n 经费_n 支出_n 用车_n 费_n 运行费_n 决算_n 决算数_n 公务_n 招待费_n 开支_n 预算数_n
衍生_v	定制化_v 局限_v
指导员_n	专干_n 排长_n 班长_n 支书_n 党支部_n 教导员_n 团支部_n 连队_n
二氧化碳_n	氮氧化物_n 烟气_n 废气_n 热效率_n 二氧化硫_n 臭氧_n 氮_n 尾气_n 污染物_n 氨_n 一氧化碳_n 气体_n 排放量_n
按钮_n	键盘_n 按键_n 鼠标_n 键_n ＵＳＢ接口_n
善意_n	善心_n 旁观者_n 同情心_n 良知_n
引人注目_id	引人瞩目_id
友情_n	亲情_n 情意_n 爱情_n 姻缘_n 情感_n
特长_n	教学_n 专长_n 课程_n 教学法_n 爱好_n 才能_n 名师_n
黑马_n	强敌_n
操_v	跳绳_v 比划_v 练习_v 练_v
民房_n	工棚_n 院墙_n 棚圈_n 民宅_n 土墙_n 围墙_n 房屋_n
招聘会_n	专场_n 求职者_n 专才_n 高层次_n 毕业生_n
赵本山_np	巩汉林_np 宋小宝_np 黄圣依_np
尿_n	肾_n 牙痛_n 大便_n 胃_n 肝_n 肺气_n
折合_v	合_v 等值_v 换算_v 合计_v 总计_v
韩国队_ni	匈牙利队_ni 日本队_ni 澳大利亚队_ni 泰国队_ni 加拿大队_ni 中国队_ni 土耳其队_ni 巴西队_ni 美国队_ni 塞尔维亚队_ni
藏族_nz	苗族_nz 白族_nz 羌族_nz 傣族_nz 壮族_nz 布依族_nz 畲族_nz 维吾尔族_nz 朝鲜族_nz 哈萨克_nz 维族_nz 蒙古族_nz 回族_nz 哈尼族_nz 佤族_nz 彝族_nz 哈萨克族_nz
战车_n	铁骑_n 德军_n
音响_n	扬声器_n 声道_n 立体声_n ＵＳＢ接口_n 键盘_n 控制台_n 天窗_n 显示屏_n
风尚_n	美德_n 理念_n 氛围_n
保住_v	破掉_v 回破_v 保发_v
克罗地亚队_ni	葡萄牙队_ni 捷克队_ni 摩洛哥队_ni 西班牙队_ni 波兰队_ni 德国队_ni 俄罗斯队_ni 荷兰队_ni 意大利队_ni 法国队_ni 爱尔兰队_ni 希腊队_ni
男童_n	女婴_n 尿床_n 女童_n 幼童_n 老妇_n 男婴_n 男孩_n
明代_t	清代_t 唐代_t 明末清初_t 明清_t 隋朝_t 元代_t 汉代_t 唐宋_t 宋代_t
演戏_v	拍戏_v
替换_v
小雨_n	雷雨_n 阵雨_n 阴天_n 雷阵雨_n 大雨_n 中雨_n
批示_v
造林_v	绿化_v 栽植_v 整地_v 补植_v
推翻_v	垮台_v 政变_v 交权_v 掌权_v 修宪_v 解散_v 倒台_v 下台_v 镇压_v
歉意_n	谢意_n
放行_v	绕行_v 通行_v 停驶_v 调流_v
随处可见_id	大街小巷_id 映入眼帘_id
蒙特利尔_ns	加拿大_ns 多伦多_ns
教堂_n	佛教徒_n 清真寺_n
宁静_a	恬淡_a 静谧_a 闲适_a 浪漫_a 恬静_a
扭曲_v	隐含_v 消解_v 折射_v 背离_v 膨胀_v
常住_v	迁入_v 暂住_v
革新_v	页游_v 独创_v 玩法_v
心得_n	笔记_n 感想_n 分享会_n
不足以_v
低谷_n	拐点_n 颓势_n 低潮_n 正轨_n 寒冬_n 调整期_n
阿联酋_ns	印尼_ns 巴林_ns 卡塔尔_ns 沙特阿拉伯_ns 阿拉伯联合酋长国_ns 斯里兰卡_ns 俄罗斯_ns 阿曼_ns 摩洛哥_ns
闪电_n	地平线_n 野火_n 狂风_n
特岗_v	帮带_v 聘期_v
三菱_nz	福特_nz 奥迪Ｑ５_nz 丰田_nz 起亚_nz
＃_v	升价_v 推涨_v 调价_v 汽_v
家门_n	爹爹_n 堂屋_n 里屋_n 院门_n 院子_n
首映_v	定档_v 公映_v 热映_v 上映_v 执导_v
大叔_n
堆放_v	堆满_v 堆_v 成堆_v 倾倒_v
美人_n	佳人_n 天仙_n 女巫_n
缩影_n	新气象_n
长寿_a	健康_a 美味_a
明日_t	下周三_t 明晚_t 本周六_t 本周日_t
高速路_n	行人_n 隔离护栏_n 隧道口_n 红绿灯_n 路口处_n 车道_n 辅路_n 道口_n 路段_n 收费站_n
戏曲_n	舞蹈_n 歌剧_n 戏剧_n 秦腔_n 京剧_n 现代舞_n 昆曲_n 曲艺_n
铅_n	汞_n 苯_n 甲醛_n 重金属_n ｐＨ值_n 甲苯_n 氯_n 二氧化硫_n
布赖森_np
转播_v	录播_v 解说_v 播放_v 点播_v 直播_v 插播_v 播报_v 观看_v 收看_v
亚马逊_ns
电线杆_n	线杆_n 灯杆_n 路灯杆_n 石墩_n 护栏_n 房顶_n 电杆_n
年收入_n	纯收入_n 人均收入_n 纯利润_n 月均收入_n 收入_n 净收入_n 中位数_n 工薪_n
收盘价_n	股价_n 发行价_n 开盘价_n 交易日_n 换手率_n 涨停板_n 增发价_n 跌幅_n
店面_n	超市_n 档口_n 店铺_n 商铺_n 门面_n 摊位_n 门市_n 商户_n 铺面_n 门店_n 商场_n
储蓄_n	邮储_n 银行_n 存款_n
司令部_n	准将_n 海军_n 陆军_n 总参谋部_n 空军_n 总司令_n 参谋长_n 航空兵_n 司令_n 舰队_n 少将_n 中将_n
求证_v	采访_v 透露_v 回应_v 澄清_v
领军_v	入选_v
遗传_v	发育_v
打扮_v	装扮_v
谋杀_v	指控_v 控罪_v 检方_v
信誉_n	经营者_n 信誉度_n 口碑_n 诚信度_n 资质_n 声誉_n 商家_n
大幅_a	小幅_a
保险_v	拒赔_v 投保_v 赔付_v 理赔_v 承保_v
厚重_a	浓郁_a 悠远_a
主城_n	观音桥_n 主城区_n 城口_n 城区_n
命题_n	作文_n 真题_n 试题_n 题目_n 考题_n
复印件_n	申请表_n 证明_n 户口簿_n 户口本_n 公证书_n 证件_n 身份证_n 学生证_n 凭证_n 工作证_n 原件_n 军官证_n 暂住证_n 介绍信_n
警员_n	警察_n 便衣_n 辅警_n 民警_n 警方_n 警局_n 匪徒_n
废物_n	废渣_n 废水_n 固体_n 废料_n 废气_n 废弃物_n
不解_v	疑惑_v 感叹_v
双人_a	轻量级_a 单人_a
妥协_v	寻求_v 强加_v 对立_v 谈判_v 主张_v 让步_v 退让_v
峰值_n	转速_n 扭力_n 马力_n Ｎ_n 扭矩_n 升功率_n 功率_n
海洋局_n	林业局_n 政府网_n 能源局_n 预报台_n
吞_v	杀_v 吐_v 掉_v
醋_n	盐_n 红糖_n 果汁_n 香油_n 蜂蜜_n 糖_n
桶_n	洗衣粉_n 大桶_n 水壶_n 塑料袋_n 洗洁精_n 保鲜膜_n 水桶_n 瓶_n 塑料桶_n
地级_a	县级_a
部落_n	印第安人_n 聚居区_n 部族_n 佛教徒_n 教派_n 圣战_n 难民营_n 首领_n
层出不穷_id	屡见不鲜_id 大行其道_id 形形色色_id
拖延_v	扯皮_v 延期_v 为由_v 了结_v
主张_n	当事国_n
工作站_n	服务团_n 服务组_n 信息员_n 联络员_n 专干_n 服务站_n 联络站_n 服务室_n
谢_np	陈_np 郭_np 李_np 王_np 蔡_np 张_np 黄_np 罗_np 刘_np 林_np 梁_np 徐_np 何_np
挂号_v	坐诊_v 开药_v 候诊_v 预约_v 看诊_v 看病_v 就诊_v 问诊_v 开诊_v 取号_v 复诊_v 加号_v
选取_v	初评_v 甄选_v 涵盖_v 选定_v 筛选_v
惊叹_v	称道_v 令_v 赞叹_v 唏嘘_v 叫绝_v 叹服_v
美德_n	楷模_n 孝道_n 传承者_n
骑行_v	步行_v 骑_v 骑车_v 登山_v 自驾_v
化妆_v	妆容_v 淡妆_v 打扮_v 补妆_v
襄阳_ns	咸宁_ns 随州_ns 荆州_ns 滁州_ns 黄冈_ns
计量_v	采暖_v 再生水_v
酸_a	油腻_a 温热_a 寒凉_a
汛情_n	工情_n 雨情_n 会商_n 水情_n 主汛期_n
多样性_n	自然界_n 生物_n 种群_n 人类_n 地貌_n 鸟类_n 生态学_n 地球化学_n 物种_n 自然_n
高举_v	举起_v 飘扬_v 举_v
测绘_v
